instrument,question_id,concept,question,ground_truth,prediction,lave_score,reason,cosine_similarity
bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo. It is blown from both ends to produce a sharp, piercing sound.",0.0,The predicted answer completely fails to answer the question about the festival and instead provides a physical description of the instrument.,0.44024544954299927
bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo. It is blown from both ends to produce a sharp, piercing sound.",0.0,The predicted answer completely fails to answer the question about the festival and instead provides a physical description of the instrument.,0.5055578947067261
bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo. It is blown from both ends to produce a sharp, piercing sound.",0.0,The predicted answer completely fails to answer the question about the festival and instead provides a physical description of the instrument.,0.8477961421012878
bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo. It is blown from both ends to produce a sharp, piercing sound.",0.0,The predicted answer completely fails to answer the question about the festival and instead provides a physical description of the instrument.,0.8477961421012878
bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo. It is blown from both ends to produce a sharp, piercing sound.",0.0,The predicted answer completely fails to answer the question about the festival and instead provides a physical description of the instrument.,0.48192310333251953
bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo stick lengthwise and inserting a small piece of bamboo at one end.,0.0,The predicted answer describes how the instrument is constructed rather than answering the question about its geographical origin.,0.23493622243404388
bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo stick lengthwise and inserting a small piece of bamboo at one end.,0.0,The predicted answer describes how the instrument is constructed rather than answering the question about its geographical origin.,0.2637035548686981
bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo stick lengthwise and inserting a small piece of bamboo at one end.,0.0,The predicted answer describes how the instrument is constructed rather than answering the question about its geographical origin.,0.2225588858127594
bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo stick lengthwise and inserting a small piece of bamboo at one end.,0.0,The predicted answer describes how the instrument is constructed rather than answering the question about its geographical origin.,0.21210218966007233
bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo stick lengthwise and inserting a small piece of bamboo at one end.,0.0,The predicted answer describes how the instrument is constructed rather than answering the question about its geographical origin.,0.22836783528327942
bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0,The predicted answer is identical to the ground truth.,0.9999999403953552
bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0,The predicted answer is identical to the ground truth.,0.9999999403953552
bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0,The predicted answer is identical to the ground truth.,0.9999999403953552
bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0,The predicted answer is identical to the ground truth.,0.9999999403953552
bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0,The predicted answer is identical to the ground truth.,0.9999999403953552
bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1.0,The predicted answer is identical to the ground truth.,1.0
bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1.0,The predicted answer is identical to the ground truth.,1.0
bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1.0,The predicted answer is identical to the ground truth.,1.0
bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1.0,The predicted answer is identical to the ground truth.,1.0
bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1.0,The predicted answer is identical to the ground truth.,0.4400078356266022
bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",1.0,The predicted answer is identical to the ground truth answer.,1.0
bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",1.0,The predicted answer is identical to the ground truth answer.,0.6979259848594666
