image,instrument,question_id,concept,question,ground_truth,prediction,axis_2a_content,axis_2b_hedge,axis_1_alignment,axis_1_misaligned_target,axis_3_correctness,axis_4_completeness,axis_5_termination,axis_6_repetition,axis_7_unsupported,core_category,needs_review,toka_q9_limitation,taxonomy_error
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo. It is blown from both ends to produce a sharp, piercing sound.",yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo stick lengthwise and inserting a small piece of bamboo at one end.,yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo and is traditionally played by women.",yes,no,misaligned,instrument_type,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo cane lengthwise and inserting small pieces of bamboo inside.,yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.",The thin end of this instrument is blown to produce sound. It is played by blowing air through the narrow end and covering the open end with the lips.,yes,no,misaligned,playing_method,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q7,playing_method,How is this instrument played?,This instrument is played by blowing air across the blow hole and covering finger holes.,This instrument is played by placing both mouthpieces in the airflow and covering finger holes with one hand while covering the other mouthpiece with the other hand.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of bamboo and consists of two separate pieces connected by a joint.,yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of bamboo and has two blow holes. It is played by blowing air through both ends.,yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse bamboo flute that is traditionally made from a single piece of bamboo. It is played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. The Bahi is one of the oldest transverse flutes in Assamese folk music and is traditionally played by men. It is closely associated with pastoral and folk music traditions of Assam. Its soft, flute-like tone makes it suitable for accompanying other rhythmic instruments during Bihu celebrations.",yes,no,aligned,,correct,partial,intact,absent,none,Partial Answer,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is blown to produce a high pitched wailing sound. It is played by both men and women.,yes,no,misaligned,sound,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
