image,instrument,question_id,concept,prediction,axis_1_alignment,axis_2a_content,axis_2b_hedge,axis_3_correctness,axis_4_completeness,axis_5_termination,axis_6_repetition,axis_7_unsupported,core_category,needs_review,toka_q9_limitation
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q1,festival,"This small, conical wind instrument is made from a single piece of bamboo. It is blown from both ends to produce a sharp, piercing sound.",misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q2,origin,This instrument is made by splitting a bamboo stick lengthwise and inserting a small piece of bamboo at one end.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q3,material,This instrument is made of bamboo.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q4,parts,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q5,sound,"This instrument produces a soft, melodic, flute-like sound.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q6,traditional_player,This instrument is traditionally played by men. It is traditionally played by men.,aligned,yes,no,correct,complete,intact,present,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q7,playing_method,This instrument is played by blowing air across the blow hole and covering finger holes.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q8,instrument_type,This is a transverse bamboo flute instrument. It is made from bamboo and played by blowing air across the mouthpiece while pressing the fingers against the finger holes.,aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q9,description,"The Bahi is a transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q1,festival,"This small, conical wind instrument is made from a single piece of bamboo and is traditionally played by women.",misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
