Image_Name,Instrument,Question,Answer
bihudhol1.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol1.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol1.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol1.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol1.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol1.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol1.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol1.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol1.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
pepa1.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
pepa1.jpg,Pepa,Where did this instrument originate?,Originated in the plains of Assam.
pepa1.jpg,Pepa,What material is this instrument made of?,Made of buffalo horn and reed.
pepa1.jpg,Pepa,What are the parts of this instrument?,"Main parts: buffalo horn body, reed and mouthpiece opening."
pepa1.jpg,Pepa,What sound does this instrument produce?,"Produces a sharp, nasal, piercing sound."
pepa1.jpg,Pepa,Which gender usually plays this instrument?,Traditionally played by men.
pepa1.jpg,Pepa,What is the interaction region of this instrument?,Played by blowing air through the mouthpiece.
pepa1.jpg,Pepa,What type of instrument is this?,A free-reed wind instrument made from natural horn.
pepa1.jpg,Pepa,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. Originating in the plains of Assam, it is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities."
gogona1.jpg,Gogona,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
gogona1.jpg,Gogona,Where did this instrument originate?,Originated in the tribal communities of Assam.
gogona1.jpg,Gogona,What material is this instrument made of?,Made of bamboo.
gogona1.jpg,Gogona,What are the parts of this instrument?,"Main parts: frame, vibrating tongue, and plucking end."
gogona1.jpg,Gogona,What sound does this instrument produce?,"Produces a soft, twangy, vibrating sound."
