image_name,instrument,question_id,concept,core_category,axis_6_repetition,axis_7_unsupported,selection_role,prediction
bahi_test1.jpg,bahi,q5,sound,Correct,absent,none,Correct baseline,"This instrument produces a soft, melodic, flute-like sound."
bahi_test2.jpg,bahi,q7,playing_method,Hallucination,absent,present,Less-common/unique failure,This instrument is played by placing both mouthpieces in the airflow and covering finger holes with one hand while covering the other mouthpiece with the other hand.
bahi_test3.jpg,bahi,q1,festival,Correct,absent,present,Correct baseline,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.
bahi_test4.jpg,bahi,q2,origin,Question Misunderstanding,absent,present,Recurring failure,This instrument is made from a single piece of bamboo and has two blow holes. It is played by blowing air through both ends.
bahi_test5.jpg,bahi,q4,parts,Question Misunderstanding,absent,present,Recurring failure,During which festival is this instrument played?
bihu_dhol_test1.jpg,bihu_dhol,q6,traditional_player,Correct,present,none,Correct baseline,This instrument is traditionally played by men. It is traditionally played by men.
bihu_dhol_test2.jpg,bihu_dhol,q9,description,Partial Answer,absent,present,Less-common/unique failure,"The Dhol consists of two cylindrical drums made from bamboo or wood, covered with animal skin or cloth. The larger, lower pitch drum is struck with bare hands while the smaller, higher pitch drum is struck with drumsticks. Both drums are played simultaneously to create a rich, rhythmic foundation for Assamese folk music."
bihu_dhol_test3.jpg,bihu_dhol,q2,origin,Question Misunderstanding,absent,present,Recurring failure,This small drum is played by holding both ends and hitting them together. It is played during Rongali Bihu.
bihu_dhol_test4.jpg,bihu_dhol,q3,material,Correct,absent,none,Correct baseline,This instrument is made of wood and animal skin.
bihu_dhol_test5.jpg,bihu_dhol,q4,parts,Question Misunderstanding,absent,present,Recurring failure,This instrument is played by striking both drum heads with wooden sticks.
gogona_test1.jpg,gogona,q2,origin,Question Misunderstanding,absent,present,Recurring failure,This instrument is played by holding both ends and vibrating it while hitting one end with the other hand or a stick.
gogona_test2.jpg,gogona,q8,instrument_type,Question Misunderstanding,absent,present,Recurring failure,"During performances, this instrument is played by clapping the two bamboo pieces together."
gogona_test3.jpg,gogona,q3,material,Correct,absent,none,Correct baseline,This instrument is made of bamboo.
gogona_test4.jpg,gogona,q4,parts,Correct,absent,none,Correct baseline,"The main parts of this instrument are the frame, vibrating tongue, and plucking end."
gogona_test5.jpg,gogona,q5,sound,Hallucination,absent,present,Less-common/unique failure,"This instrument produces a soft, vibrating, high-pitched sound."
khutitaal_test1.jpg,khutitaal,q4,parts,Hallucination,absent,present,Less-common/unique failure,The main parts of this instrument are two small metal discs and connecting cord.
khutitaal_test2.jpg,khutitaal,q3,material,Correct,absent,none,Correct baseline,This instrument is made of bell metal.
khutitaal_test3.jpg,khutitaal,q2,origin,Correct,absent,present,Correct baseline,This instrument originated in the Brahmaputra valley of Assam. It is traditionally played during Rongali Bihu.
khutitaal_test4.jpg,khutitaal,q4,parts,Question Misunderstanding,absent,present,Recurring failure,During which season is this instrument played traditionally?
khutitaal_test5.jpg,khutitaal,q1,festival,Question Misunderstanding,absent,present,Recurring failure,This small flat percussion instrument is traditionally made from the hollowed horn or bone of a cattle or buffalo. It is played by striking two pieces of the instrument together or against a hard surface.
pepa_test1.jpg,pepa,q1,festival,Question Misunderstanding,absent,present,Recurring failure,"This small conical wind instrument is blown to produce a sharp, piercing sound. It is played by both men and women."
pepa_test2.jpg,pepa,q8,instrument_type,Question Misunderstanding,absent,present,Recurring failure,"During festivals, this instrument is played by both men and women. It is played by blowing air through the mouthpiece and plucking the reed to produce a sharp, piercing sound."
pepa_test3.jpg,pepa,q5,sound,Hallucination,absent,present,Less-common/unique failure,"This instrument produces a sharp, nasal, piercing high-pitched sound."
pepa_test4.jpg,pepa,q3,material,Correct,absent,none,Correct baseline,This instrument is made of buffalo horn and bamboo.
pepa_test5.jpg,pepa,q6,traditional_player,Correct,absent,none,Correct baseline,This instrument is traditionally played by men.
toka_test1.jpg,toka,q6,traditional_player,Hallucination,absent,present,Less-common/unique failure,This instrument is traditionally played by women.
toka_test2.jpg,toka,q4,parts,Correct,absent,none,Correct baseline,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends."
toka_test3.jpg,toka,q1,festival,Question Misunderstanding,absent,present,Recurring failure,"This small conical wind instrument is blown to produce a sharp, piercing sound. It is played by both men and women."
toka_test4.jpg,toka,q4,parts,Question Misunderstanding,absent,present,Recurring failure,During which festival is this instrument played?
toka_test5.jpg,toka,q2,origin,Correct,absent,present,Correct baseline,This instrument originated in the rural communities of Assam. It is played by plucking both ends of the bamboo tube.
xutuli_test1.jpg,xutuli,q1,festival,Correct,absent,none,Correct baseline,This instrument is played during Rongali Bihu which is the spring festival of Assam.
xutuli_test2.jpg,xutuli,q1,festival,Question Misunderstanding,absent,present,Recurring failure,"This small, conical instrument is made from a single piece of stone or bamboo and is traditionally played by women. It is played by blowing air through the narrow end while clapping the two larger ends together."
xutuli_test3.jpg,xutuli,q2,origin,Question Misunderstanding,absent,present,Recurring failure,This instrument is played by placing both mouthpieces against the cheeks and blowing air through them.
xutuli_test4.jpg,xutuli,q3,material,Correct,absent,none,Correct baseline,This instrument is made of clay or bamboo.
xutuli_test5.jpg,xutuli,q6,traditional_player,Hallucination,absent,present,Less-common/unique failure,This instrument is traditionally played by women.
