sample_id,instrument,question_id,concept,question,ground_truth,prediction,cosine_similarity
0,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo. It is blown from both ends to produce a sharp, piercing sound.",0.4402455985546112
1,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo stick lengthwise and inserting a small piece of bamboo at one end.,0.23493629693984985
2,bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0
3,bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1.0
4,bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",1.0
5,bahi,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men. It is traditionally played by men.,0.8460376858711243
6,bahi,q7,playing_method,How is this instrument played?,This instrument is played by blowing air across the blow hole and covering finger holes.,This instrument is played by blowing air across the blow hole and covering finger holes.,0.9999999403953552
7,bahi,q8,instrument_type,What type of musical instrument is this?,This is a transverse bamboo flute instrument.,This is a transverse bamboo flute instrument. It is made from bamboo and played by blowing air across the mouthpiece while pressing the fingers against the finger holes.,0.9100838303565979
8,bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.",0.99757981300354
9,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo and is traditionally played by women.",0.5055580735206604
10,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo cane lengthwise and inserting small pieces of bamboo inside.,0.26370373368263245
11,bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1.0
12,bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1.0
13,bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.",The thin end of this instrument is blown to produce sound. It is played by blowing air through the narrow end and covering the open end with the lips.,0.6979258060455322
14,bahi,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
