image,instrument,question_id,concept,question,ground_truth,prediction,axis_2a_content,axis_2b_hedge,axis_1_alignment,axis_1_misaligned_target,axis_3_correctness,axis_4_completeness,axis_5_termination,axis_6_repetition,axis_7_unsupported,core_category,needs_review,toka_q9_limitation
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo. It is blown from both ends to produce a sharp, piercing sound.",yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,FALSE,FALSE
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made by splitting a bamboo stick lengthwise and inserting a small piece of bamboo at one end.,yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,FALSE,FALSE
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,yes,no,aligned,,correct,complete,intact,absent,none,Correct,FALSE,FALSE
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",yes,no,aligned,,correct,complete,intact,absent,none,Correct,FALSE,FALSE
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",yes,no,aligned,,correct,complete,intact,absent,none,Correct,FALSE,FALSE
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men. It is traditionally played by men.,yes,no,aligned,,correct,complete,intact,present,none,Correct,FALSE,FALSE
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q7,playing_method,How is this instrument played?,This instrument is played by blowing air across the blow hole and covering finger holes.,This instrument is played by blowing air across the blow hole and covering finger holes.,yes,no,aligned,,correct,complete,intact,absent,none,Correct,FALSE,FALSE
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q8,instrument_type,What type of musical instrument is this?,This is a transverse bamboo flute instrument.,This is a transverse bamboo flute instrument. It is made from a single piece of bamboo and has two finger holes and one thumb hole. It is played by blowing air across the mouthpiece and covering finger holes to produce different pitches.,yes,no,aligned,,correct,complete,intact,absent,present,Correct,FALSE,FALSE
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test1.jpg,bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping",yes,no,aligned,,correct,partial,truncated,absent,none,Partial Answer,FALSE,FALSE
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical wind instrument is made from a single piece of bamboo and is traditionally played by women.",yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,FALSE,FALSE
